"","Groups","Tweet","Time","Retweet","Faves","ReplyToStatusID","TweetID","sentiment","method"
"1",1,"@gabdar @_nadine Sounds like a great time, until next year! <U+0001F41D>",2015-10-27 22:54:04,0,1,"658435785016877056","659141038242668545",5,"AFINN"
"2",2,"@evamariab Hello Eva, here's a helpful link with information on the safety of our site: https://t.co/SS7lKjRTzf",2015-10-27 22:29:35,0,0,"659134099207102464","659134876420059136",3,"AFINN"
"3",3,"@joneticspres See you there, we <U+0001F497> Brooklyn! #RunAirbnb",2015-10-27 21:47:34,0,0,"659055344635789312","659124302831341568",NA,NA
"4",4,"@brentcarcher Running and hosting are pretty similar that way: if you want to be the best you have to go the extra mile <U+0001F3C6> #RunAirbnb",2015-10-27 20:43:02,0,2,"659089272956280832","659108062951772160",5,"AFINN"
"5",5,"@andybremmen Hi Andrei, we're hosting events to celebrate the boroughs, rsvp for the music and fun: https://t.co/HXxgBvs1a3 #runairbnb",2015-10-27 19:53:07,0,0,"658737283403792384","659095502999453696",7,"AFINN"
"6",6,"@richarddavid_1 Thanks for coming by! Hope to see you this week: https://t.co/HXxgBvs1a3 #RunAirbnb",2015-10-27 18:49:50,0,0,"659021733287038976","659079577113903104",4,"AFINN"
"7",7,"Want to join #AirbnbOpen but can't spare 3 days? 1 day pass is here, just for you. https://t.co/C24Rognn9o https://t.co/f1rZyInuo5",2015-10-27 18:27:06,14,23,NA,"659073855848321024",2,"AFINN"
"8",8,"@graphcart Hey Douglas! Let us look into it please. Could you please send us a link to that listing? Thanks!",2015-10-27 18:22:16,0,1,"659071899608195072","659072639730737152",4,"AFINN"
"9",9,"@collingridgefox Sounds lovely Sarah! Send us some pictures so we can check out those views!",2015-10-27 15:35:48,0,1,"659030007457685506","659030746531823616",3,"AFINN"
"10",10,"@emilyc_barnes So much to see! If you need some help exploring Rome, here's our handy neighbourhood guide: https://t.co/9BsRugT7gJ - enjoy!",2015-10-27 13:58:22,0,1,"659005321197785088","659006223409352704",4,"AFINN"
"11",11,"@emilyc_barnes So pleased you enjoyed Paris Emily! Whereabouts are you planning to explore next??",2015-10-27 13:48:10,0,0,"659003100607463424","659003657338408961",3,"AFINN"
"12",12,"@jessybell1988 Nice work mum <U+0001F609>",2015-10-27 13:37:36,0,0,"658997244310462464","659000998703312896",3,"AFINN"
"13",13,"@cgoron Love those autumnal colours Catherine! Thanks for sharing <U+0001F341><U+0001F342>",2015-10-27 13:29:51,0,1,"658986867807952900","658999050239393792",5,"AFINN"
"14",14,"@gerv055 That place looks amazing! We wish your new phone luck <U+0001F4F1><U+0001F340>",2015-10-27 13:23:32,0,1,"658988590660210688","658997458018697216",8,"AFINN"
"15",15,"@sweet_corn That IS straight out of a movie set...which movie would you most like it to be in??",2015-10-27 13:20:39,0,0,"658991532616323072","658996733758844928",3,"AFINN"
"16",16,"@jessybell1988 Mums are the best <U+0001F60A> welcome home Jessica!",2015-10-27 13:18:39,0,1,"658993965467893760","658996231381872641",5,"AFINN"
"17",17,"@birdland198 Yup - we think it's a pretty good way to start the day <U+0001F604><U+0001F30D>",2015-10-27 12:38:17,0,0,"658970463171809280","658986071292846080",4,"AFINN"
"18",18,"@alyssafernjones That DOES look amazing! Have a great time exploring Amsterdam Alyssa <U+0001F604>",2015-10-27 12:34:06,0,1,"658982882040500224","658985018841288704",7,"AFINN"
"19",19,"@thebigfactor That looks stunning Lynan! Such a unique spot. We can't wait to see more of your pictures <U+0001F4F7>",2015-10-27 10:21:50,0,1,"658946124171055104","658951730890149889",4,"AFINN"
"20",20,"@mirasolgibcus That's what this community is all about! Thank you so much for welcoming the world Mirasol.",2015-10-27 10:09:21,0,1,"658947815343652864","658948591894007808",2,"AFINN"
"21",21,"@regretscoyote Enjoy your last day Lauren! Wishing you a safe journey to Iceland!",2015-10-27 09:51:24,0,1,"658937686124810240","658944072065941504",4,"AFINN"
