"","Groups","Time","Retweet","Faves","ReplyToStatusID","TweetID","word","sentiment","method"
"1",1,2015-10-27 22:54:04,0,1,"658435785016877056","659141038242668545","like","positive","Bing et al."
"2",1,2015-10-27 22:54:04,0,1,"658435785016877056","659141038242668545","great","positive","Bing et al."
"3",2,2015-10-27 22:29:35,0,0,"659134099207102464","659134876420059136","helpful","positive","Bing et al."
"4",4,2015-10-27 20:43:02,0,2,"659089272956280832","659108062951772160","pretty","positive","Bing et al."
"5",4,2015-10-27 20:43:02,0,2,"659089272956280832","659108062951772160","best","positive","Bing et al."
"6",5,2015-10-27 19:53:07,0,0,"658737283403792384","659095502999453696","celebrate","positive","Bing et al."
"7",5,2015-10-27 19:53:07,0,0,"658737283403792384","659095502999453696","fun","positive","Bing et al."
"8",9,2015-10-27 15:35:48,0,1,"659030007457685506","659030746531823616","lovely","positive","Bing et al."
"9",10,2015-10-27 13:58:22,0,1,"659005321197785088","659006223409352704","handy","positive","Bing et al."
"10",10,2015-10-27 13:58:22,0,1,"659005321197785088","659006223409352704","enjoy","positive","Bing et al."
"11",11,2015-10-27 13:48:10,0,0,"659003100607463424","659003657338408961","pleased","positive","Bing et al."
"12",11,2015-10-27 13:48:10,0,0,"659003100607463424","659003657338408961","enjoyed","positive","Bing et al."
"13",12,2015-10-27 13:37:36,0,0,"658997244310462464","659000998703312896","nice","positive","Bing et al."
"14",12,2015-10-27 13:37:36,0,0,"658997244310462464","659000998703312896","work","positive","Bing et al."
"15",13,2015-10-27 13:29:51,0,1,"658986867807952900","658999050239393792","love","positive","Bing et al."
"16",14,2015-10-27 13:23:32,0,1,"658988590660210688","658997458018697216","amazing","positive","Bing et al."
"17",14,2015-10-27 13:23:32,0,1,"658988590660210688","658997458018697216","luck","positive","Bing et al."
"18",15,2015-10-27 13:20:39,0,0,"658991532616323072","658996733758844928","like","positive","Bing et al."
"19",16,2015-10-27 13:18:39,0,1,"658993965467893760","658996231381872641","best","positive","Bing et al."
